course_name,play_date,tee_time,green_fee,source,booking_url,slots,hole_info
에덴블루,2026-09-20,13:08,142500,golfpang,,,
젠스필드,2026-09-20,17:42,90000,golfpang,,,
안성베네스트(클),2026-09-20,14:13,179000,golfpang,,,
솔모로,2026-09-20,13:42,170000,golfpang,,,
이천실크밸리,2026-09-20,11:32,155000,golfpang,,,
양지파인,2026-09-20,11:51,170000,golfpang,,,
신안(병행),2026-09-20,18:10,80000,golfpang,,,
안성베네스트(챌),2026-09-20,13:45,179000,golfpang,,,
양평TPC,2026-09-20,13:15,150000,golfpang,,,
에덴블루,2026-09-20,13:29,142500,golfpang,,,
해솔리아,2026-09-20,17:01,120000,golfpang,,,
신안(병행),2026-09-20,17:56,80000,golfpang,,,
리베라,2026-09-20,18:24,110000,golfpang,,,
솔모로,2026-09-20,13:42,170000,golfpang,,,
해솔리아,2026-09-20,17:08,120000,golfpang,,,
리베라,2026-09-20,17:56,120000,golfpang,,,
리베라,2026-09-20,17:35,120000,golfpang,,,
이천실크밸리,2026-09-20,17:42,90000,golfpang,,,
젠스필드,2026-09-20,17:14,90000,golfpang,,,
이글몬트,2026-09-20,12:50,180000,golfpang,,,
골프존 송도(구.오렌지듄스),2026-09-20,12:47,179000,golfpang,,,
솔모로,2026-09-20,12:32,180000,golfpang,,,
에덴블루,2026-09-20,12:23,150000,golfpang,,,
양지파인,2026-09-20,12:21,160000,golfpang,,,
리베라,2026-09-20,18:17,110000,golfpang,,,
그린힐,2026-09-20,18:24,90000,golfpang,,,
에덴블루,2026-09-20,12:16,150000,golfpang,,,
신안(병행),2026-09-20,18:10,80000,golfpang,,,
마이다스레이크 이천,2026-09-20,14:17,180000,golfpang,,,
이천실크밸리,2026-09-20,07:24,160000,golfpang,,,
신안,2026-09-20,19:20,80000,golfpang,,,
젠스필드,2026-09-20,12:15,160000,golfpang,,,
한림용인,2026-09-20,06:17,170000,golfpang,,,
리베라,2026-09-20,17:35,120000,golfpang,,,
그린힐,2026-09-20,18:17,90000,golfpang,,,
한림용인,2026-09-20,14:07,165000,golfpang,,,
양지파인,2026-09-20,13:29,160000,golfpang,,,
신안(병행),2026-09-20,17:28,90000,golfpang,,,
신안,2026-09-20,18:59,80000,golfpang,,,
리베라,2026-09-20,18:31,110000,golfpang,,,
이글몬트,2026-09-20,07:30,190000,golfpang,,,
이글몬트,2026-09-20,13:39,170000,golfpang,,,
양평TPC,2026-09-20,13:50,150000,golfpang,,,
해솔리아,2026-09-20,17:22,120000,golfpang,,,
에덴블루,2026-09-20,13:08,142500,golfpang,,,
그린힐,2026-09-20,18:10,90000,golfpang,,,
신안,2026-09-20,19:13,80000,golfpang,,,
젠스필드,2026-09-20,18:38,75000,golfpang,,,
한림용인,2026-09-20,14:00,165000,golfpang,,,
솔모로,2026-09-20,13:42,170000,golfpang,,,
360도,2026-09-20,12:00,177000,golfpang,,,
솔모로,2026-09-20,14:03,170000,golfpang,,,
빅토리아-퍼9,2026-09-20,12:24,114000,golfpang,,,
아세코밸리-퍼9,2026-09-20,12:37,130000,golfpang,,,
한림용인,2026-09-20,13:32,170000,golfpang,,,
이글몬트,2026-09-20,13:32,170000,golfpang,,,
양지파인,2026-09-20,12:14,170000,golfpang,,,
그린힐,2026-09-20,18:10,90000,golfpang,,,
골프존 안성W,2026-09-20,06:58,160000,golfpang,,,
이글몬트,2026-09-20,13:25,170000,golfpang,,,
안성베네스트(챌),2026-09-20,13:38,179000,golfpang,,,
양지파인,2026-09-20,12:51,160000,golfpang,,,
에덴블루,2026-09-20,13:46,142500,golfpang,,,
마이다스레이크 이천,2026-09-20,14:03,180000,golfpang,,,
해솔리아,2026-09-20,17:22,120000,golfpang,,,
신안(병행),2026-09-20,17:49,80000,golfpang,,,
해솔리아,2026-09-20,11:27,170000,golfpang,,,
아세코밸리-퍼9,2026-09-20,12:30,130000,golfpang,,,
클럽72,2026-09-20,18:25,120000,golfpang,,,
골프존 안성H,2026-09-20,06:30,190000,golfpang,,,
골프존 안성H,2026-09-20,14:20,180000,golfpang,,,
골프존 안성H,2026-09-20,06:44,190000,golfpang,,,
용인(비공개),2026-09-20,06:46,209000,golfpang,,,
용인(비공개),2026-09-20,14:06,180000,golfpang,,,
용인(비공개),2026-09-20,13:17,180000,golfpang,,,
한림용인,2026-09-20,06:03,170000,golfpang,,,
한림용인,2026-09-20,12:43,180000,golfpang,,,
한림용인,2026-09-20,12:57,180000,golfpang,,,
클럽72,2026-09-20,19:00,110000,golfpang,,,
클럽72,2026-09-20,13:03,180000,golfpang,,,
360도,2026-09-20,13:40,167000,golfpang,,,
양평TPC,2026-09-20,06:52,180000,golfpang,,,
양평TPC,2026-09-20,12:33,160000,golfpang,,,
포웰(안성)cc,2026-09-20,13:40,142000,golfpang,,,
비콘힐스,2026-09-21,17:58,60000,golfpang,,,
가평베네스트,2026-09-21,07:19,169000,golfpang,,,
비발디파크E,2026-09-21,07:02,136000,golfpang,,,
가평베네스트,2026-09-21,07:12,159000,golfpang,,,
베스트밸리-퍼9,2026-09-21,17:20,90000,golfpang,,,
남춘천,2026-09-21,07:07,110000,golfpang,,,
엘레강스(가명),2026-09-21,06:37,140000,golfpang,,,
홍천(비공개),2026-09-21,07:15,120000,golfpang,,,
오너스,2026-09-21,06:29,85000,golfpang,,,
비콘힐스,2026-09-21,18:05,60000,golfpang,,,
비콘힐스,2026-09-21,17:44,60000,golfpang,,,
엘레강스(가명),2026-09-21,06:51,150000,golfpang,,,
엘레강스(가명),2026-09-21,11:30,170000,golfpang,,,
엘레강스(가명),2026-09-21,08:29,160000,golfpang,,,
베스트밸리-퍼9,2026-09-21,17:41,90000,golfpang,,,
베스트밸리-퍼9,2026-09-21,12:35,130000,golfpang,,,
베스트밸리-퍼9,2026-09-21,07:50,140000,golfpang,,,
오너스,2026-09-21,14:11,105000,golfpang,,,
더플레이어스,2026-09-21,11:04,140000,golfpang,,,
강촌(비공개),2026-09-21,07:54,150000,golfpang,,,
오너스,2026-09-21,14:11,105000,golfpang,,,
