course_name,play_date,tee_time,green_fee,source,booking_url,slots,hole_info,row_id
알펜시아700,2026-09-18,18:12,70000,golfpang,,,18홀,tr_219999481
벨라45 마스터스,2026-09-18,17:45,107500,golfpang,,,18홀,tr_219558332
동서울cc-퍼9,2026-09-18,17:35,65000,golfpang,,,18홀,tr_218232001
벨라45 마스터스,2026-09-18,18:20,107500,golfpang,,,18홀,tr_219558333
벨라스톤,2026-09-18,18:06,80000,golfpang,,,18홀,tr_219989460
벨라스톤,2026-09-18,18:34,80000,golfpang,,,18홀,tr_219989461
벨라스톤,2026-09-18,17:38,80000,golfpang,,,18홀,tr_219989459
힐데스하임,2026-09-18,18:34,90000,golfpang,,,18홀,tr_220195696
오로라,2026-09-18,17:50,100000,golfpang,,,18홀,tr_220193020
오로라,2026-09-18,18:31,80000,golfpang,,,18홀,tr_220193021
플라밍고,2026-09-18,19:13,110000,golfpang,,,18홀,tr_220190853
프린세스,2026-09-18,19:12,115000,golfpang,,,18홀,tr_220190425
프린세스,2026-09-18,18:02,120000,golfpang,,,18홀,tr_220190424
파인스톤,2026-09-18,17:57,150000,golfpang,,,18홀,tr_220190284
킹즈락,2026-09-18,18:48,70000,golfpang,,,18홀,tr_220184546
남한강에스파크,2026-09-18,18:07,99000,golfpang,,,18홀,tr_219558411
모나크,2026-09-18,17:20,110000,golfpang,,,18홀,tr_220174650
동서울cc-퍼9,2026-09-18,17:21,49000,golfpang,,,18홀,tr_220174579
감곡,2026-09-18,19:02,100000,golfpang,,,18홀,tr_220151303
아난티중앙(야간),2026-09-18,17:35,140000,golfpang,,,18홀,tr_220149883
아난티중앙(야간),2026-09-18,18:20,130000,golfpang,,,18홀,tr_220149884
벨라45 마스터스,2026-09-18,17:24,107500,golfpang,,,18홀,tr_219092670
벨라45 마스터스,2026-09-18,17:17,107500,golfpang,,,18홀,tr_219092671
남양주(퍼9),2026-09-18,17:14,100000,golfpang,,,18홀,tr_220129554
몽베르(대중제),2026-09-18,17:14,140000,golfpang,,,18홀,tr_219718147
파주타이거,2026-09-18,16:53,170000,golfpang,,,18홀,tr_220148340
남양주(퍼9),2026-09-18,16:40,100000,golfpang,,,18홀,tr_220129553
아세코밸리-퍼9,2026-09-18,16:35,120000,golfpang,,,18홀,tr_220106334
세현,2026-09-18,17:34,170000,golfpang,,,18홀,tr_220070087
파주타이거,2026-09-18,17:35,170000,golfpang,,,18홀,tr_220148341
해솔리아,2026-09-18,18:11,130000,golfpang,,,18홀,tr_220128437
스타,2026-09-18,18:10,100000,golfpang,,,18홀,tr_219784131
스타,2026-09-18,17:35,110000,golfpang,,,18홀,tr_219784129
베스트밸리-퍼9,2026-09-18,18:09,130000,golfpang,,,18홀,tr_220130394
세레니티cc,2026-09-18,18:06,140000,golfpang,,,18홀,tr_219601056
한림광릉,2026-09-18,18:06,140000,golfpang,,,18홀,tr_220149612
파주타이거,2026-09-18,18:05,170000,golfpang,,,18홀,tr_220148342
알펜시아700,2026-09-18,18:05,80000,golfpang,,,18홀,tr_219795226
스타,2026-09-18,18:03,100000,golfpang,,,18홀,tr_219784130
포레스트힐,2026-09-18,18:03,130000,golfpang,,,18홀,tr_220148564
몽베르(대중제),2026-09-18,18:03,130000,golfpang,,,18홀,tr_219718148
파주,2026-09-18,18:02,170000,golfpang,,,18홀,tr_220145595
베스트밸리-퍼9,2026-09-18,18:02,130000,golfpang,,,18홀,tr_220130393
라싸,2026-09-18,18:00,139000,golfpang,,,18홀,tr_220129932
대호단양,2026-09-18,18:00,89000,golfpang,,,18홀,tr_219932207
알프스대영,2026-09-18,17:57,59000,golfpang,,,18홀,tr_219746345
포레스트힐,2026-09-18,17:56,130000,golfpang,,,18홀,tr_220148563
빅토리아-퍼9,2026-09-18,17:52,89000,golfpang,,,18홀,tr_220058089
한림광릉,2026-09-18,17:52,140000,golfpang,,,18홀,tr_220149611
대영베이스,2026-09-18,17:51,99000,golfpang,,,18홀,tr_220118119
한림광릉,2026-09-18,17:45,140000,golfpang,,,18홀,tr_220149610
스프링베일-퍼9,2026-09-18,17:43,80000,golfpang,,,18홀,tr_220142442
파주,2026-09-18,17:41,170000,golfpang,,,18홀,tr_220145594
포웰(안성)cc,2026-09-18,19:42,112000,golfpang,,,18홀,tr_220128006
포레스트힐,2026-09-18,18:59,130000,golfpang,,,18홀,tr_220148565
대영베이스,2026-09-18,18:51,99000,golfpang,,,18홀,tr_220118120
포웰(안성)cc,2026-09-18,18:46,122000,golfpang,,,18홀,tr_220128005
세현,2026-09-18,18:44,170000,golfpang,,,18홀,tr_220070089
블랙스톤벨포레,2026-09-18,18:33,50000,golfpang,,,18홀,tr_219600361
이천실크밸리,2026-09-18,18:31,115000,golfpang,,,18홀,tr_220126138
세현,2026-09-18,18:30,170000,golfpang,,,18홀,tr_220070088
세레니티-강촌,2026-09-18,18:21,110000,golfpang,,,18홀,tr_220139369
포웰(안성)cc,2026-09-18,18:18,135000,golfpang,,,18홀,tr_220128004
베스트밸리-퍼9,2026-09-18,18:16,130000,golfpang,,,18홀,tr_220130395
벨라45 마스터스,2026-09-18,18:13,107500,golfpang,,,18홀,tr_219092672
남양주(퍼9),2026-09-18,16:20,100000,golfpang,,,18홀,tr_220149666
남양주(퍼9),2026-09-18,17:00,100000,golfpang,,,18홀,tr_220149667
용인플라자,2026-09-18,18:05,160000,golfpang,,,18홀,tr_220128850
용인플라자,2026-09-18,18:34,160000,golfpang,,,18홀,tr_220128851
용인플라자,2026-09-18,17:30,160000,golfpang,,,18홀,tr_220128849
이천실크밸리,2026-09-18,18:31,115000,golfpang,,,18홀,tr_220127146
아세코밸리-퍼9,2026-09-18,16:35,120000,golfpang,,,18홀,tr_220088334
빅토리아-퍼9,2026-09-18,18:06,89000,golfpang,,,18홀,tr_220126871
클럽72,2026-09-18,17:01,150000,golfpang,,,18홀,tr_219769808
클럽72,2026-09-18,18:04,140000,golfpang,,,18홀,tr_219769809
클럽72,2026-09-18,19:00,130000,golfpang,,,18홀,tr_219769810
해솔리아,2026-09-18,18:11,130000,golfpang,,,18홀,tr_220126447
해솔리아,2026-09-18,17:29,140000,golfpang,,,18홀,tr_220126445
해솔리아,2026-09-18,18:04,130000,golfpang,,,18홀,tr_220126446
한림광릉,2026-09-18,18:13,140000,golfpang,,,18홀,tr_220125803
한림광릉,2026-09-18,17:59,140000,golfpang,,,18홀,tr_220125802
한림광릉,2026-09-18,17:59,140000,golfpang,,,18홀,tr_220125804
알펜시아700,2026-09-18,17:30,100000,golfpang,,,18홀,tr_219553687
벨라45 마스터스,2026-09-18,17:31,107500,golfpang,,,18홀,tr_219347042
벨라스톤,2026-09-18,17:59,80000,golfpang,,,18홀,tr_219822265
벨라스톤,2026-09-18,18:13,80000,golfpang,,,18홀,tr_219822266
벨라45 마스터스,2026-09-18,17:38,107500,golfpang,,,18홀,tr_219347041
벨라45 마스터스,2026-09-18,17:24,107500,golfpang,,,18홀,tr_219347040
벨라스톤,2026-09-18,17:59,80000,golfpang,,,18홀,tr_219822264
오로라,2026-09-18,18:30,80000,golfpang,,,18홀,tr_219886111
스타,2026-09-18,17:42,110000,golfpang,,,18홀,tr_220029255
감곡,2026-09-18,18:55,100000,golfpang,,,18홀,tr_219322501
골프존 화랑,2026-09-18,19:10,99000,golfpang,,,18홀,tr_220115517
감곡,2026-09-18,18:55,100000,golfpang,,,18홀,tr_219322499
스타,2026-09-18,18:03,100000,golfpang,,,18홀,tr_220029256
세레니티cc,2026-09-18,18:13,140000,golfpang,,,18홀,tr_218839232
감곡,2026-09-18,18:06,110000,golfpang,,,18홀,tr_219322500
세레니티cc,2026-09-18,18:06,140000,golfpang,,,18홀,tr_218839231
세레니티cc,2026-09-18,18:06,140000,golfpang,,,18홀,tr_218839233
블랙스톤벨포레,2026-09-18,17:37,55000,golfpang,,,18홀,tr_219588136
대호단양,2026-09-18,17:04,109000,golfpang,,,18홀,tr_218339888
스타,2026-09-18,17:35,110000,golfpang,,,18홀,tr_220029254
파주,2026-09-18,17:13,170000,golfpang,,,18홀,tr_218577952
필로스,2026-09-18,18:00,130000,golfpang,,,18홀,tr_219688470
포레스트힐,2026-09-18,17:35,130000,golfpang,,,18홀,tr_218624393
필로스,2026-09-18,18:07,130000,golfpang,,,18홀,tr_219688471
포레스트힐,2026-09-18,17:35,130000,golfpang,,,18홀,tr_218624391
